#スキル系統,最小,最大
毒,-10,7
麻痺,-10,7
睡眠,-10,7
気絶,-10,10
耐震,-10,8
だるま,-10,8
耐暑,-10,10
耐寒,-10,10
盗み無効,-10,10
対防御DOWN,-10,8
狂撃耐性,-5,5
細菌学,-5,5
裂傷,-10,10
攻撃,-7,7
防御,-7,7
体力,-10,10
火耐性,-10,10
水耐性,-10,10
雷耐性,-10,10
氷耐性,-10,10
龍耐性,-10,10
特殊攻撃,-4,4
抜刀減気,-5,5
精密射撃,-10,10
通常弾追加,-8,8
貫通弾追加,-10,10
散弾追加,-10,10
榴弾追加,-10,10
拡散弾追加,-10,10
毒瓶追加,-10,10
麻痺瓶追加,-10,10
睡眠瓶追加,-10,10
強撃瓶追加,-10,12
属強瓶追加,-10,12
接撃瓶追加,-10,10
減気瓶追加,-10,10
爆破瓶追加,-10,10
射法,-3,3
変則射撃,-10,10
弾薬節約,-5,5
達人,-7,7
特殊会心,-5,5
属性会心,-5,5
笛,-8,8
砲術,-8,8
爆弾強化,-8,8
逆境,-5,5
逆上,-5,5
窮地,-5,5
気配,-10,10
采配,-7,7
号令,-7,7
乗り,-8,8
跳躍,-5,5
我慢,-5,5
千里眼,-10,10
観察眼,-10,10
狩人,-10,10
運搬,-10,10
回復速度,-4,4
効果持続,-10,10
広域,-10,10
腹減り,-10,10
食いしん坊,-10,13
節食,-5,5
肉食,-5,5
野草知識,-10,10
調合成功率,-10,13
調合数,-10,10
高速設置,-10,10
採取,-10,13
ハチミツ,-10,10
護石王,-5,5
気まぐれ,-10,13
